User_ID,Date,Stock,Action,Quantity,Price,Trade_Type,Profit_Loss
U035,2025-07-16,ICICIBANK,Buy,10,1879.48,Option,882.85
U041,2025-06-28,ADANIENT,Buy,5,2490.07,Delivery,-615.3
U031,2025-06-29,HDFC,Buy,50,839.86,Delivery,983.72
U030,2025-07-20,BANKNIFTY,Sell,1,2760.63,Delivery,-939.71
U020,2025-06-29,TCS,Buy,50,426.92,Future,-111.98
U031,2025-06-14,ICICIBANK,Sell,5,1396.42,Option,255.67
U045,2025-07-30,HDFC,Buy,5,2667.41,Option,217.92
U007,2025-06-27,RELIANCE,Sell,5,2853.59,Future,734.88
U045,2025-07-07,BANKNIFTY,Sell,20,493.24,Future,470.37
U046,2025-06-11,BANKNIFTY,Sell,1,2920.53,Intraday,542.04
U032,2025-08-03,SBIN,Sell,5,2763.87,Future,770.74
U033,2025-07-03,TCS,Sell,50,1457.63,Option,-897.59
U013,2025-06-19,INFY,Sell,5,1934.13,Future,-273.38
U003,2025-07-06,ADANIENT,Sell,5,1215.06,Delivery,-482.74
U013,2025-07-27,INFY,Buy,5,987.06,Delivery,156.39
U008,2025-07-08,RELIANCE,Buy,50,737.16,Delivery,-810.72
U007,2025-07-31,ICICIBANK,Buy,20,1875.09,Intraday,234.02
U044,2025-06-26,SBIN,Buy,1,2866.08,Future,461.67
U023,2025-07-31,ITC,Buy,1,1807.13,Delivery,-436.8
U037,2025-07-29,TCS,Sell,5,2069.29,Future,646.78
U049,2025-06-11,TCS,Buy,50,1052.16,Future,465.89
U007,2025-06-22,ICICIBANK,Sell,20,1208.26,Option,-139.38
U030,2025-07-28,ICICIBANK,Sell,20,1132.17,Delivery,-915.39
U013,2025-07-14,INFY,Buy,20,2991.25,Intraday,190.72
U018,2025-06-12,TCS,Sell,1,921.54,Future,323.58
U026,2025-07-19,ICICIBANK,Buy,10,784.66,Option,886.87
U026,2025-08-04,BANKNIFTY,Sell,20,136.76,Option,430.18
U012,2025-08-02,NIFTY,Buy,50,1115.7,Delivery,287.07
U012,2025-07-30,HDFC,Buy,10,1859.25,Delivery,-937.47
U019,2025-06-24,ICICIBANK,Buy,1,1868.92,Option,-207.06
U046,2025-06-11,HDFC,Buy,10,916.33,Intraday,-800.46
U009,2025-07-20,ICICIBANK,Buy,5,908.91,Future,547.11
U006,2025-07-01,BANKNIFTY,Sell,5,2516.98,Option,-439.97
U020,2025-06-20,BANKNIFTY,Sell,10,2430.32,Intraday,907.58
U001,2025-07-23,ADANIENT,Sell,10,612.36,Delivery,44.84
U008,2025-07-23,ITC,Sell,1,1051.25,Future,578.07
U012,2025-06-27,RELIANCE,Sell,5,2059.9,Future,15.8
U023,2025-07-30,INFY,Sell,1,355.72,Delivery,754.08
